pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.043    0.043 specifiers.py:275(Specifier)
      654    0.009    0.000    0.043    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
      168    0.008    0.000    0.043    0.000 random.py:285(sample)
        1    0.000    0.000    0.043    0.043 _internal.py:6(<module>)
     1054    0.018    0.000    0.043    0.000 version.py:198(__init__)
      318    0.043    0.000    0.043    0.000 {built-in method posix.listdir}
     1441    0.003    0.000    0.042    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      176    0.001    0.000    0.042    0.000 __init__.py:2088(_handle_ns)
        1    0.000    0.000    0.042    0.042 client.py:69(<module>)
     7246    0.023    0.000    0.041    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
        1    0.000    0.000    0.040    0.040 pyparsing.py:5353(pyparsing_common)
      174    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
       14    0.037    0.003    0.038    0.003 {method 'read' of '_io.TextIOWrapper' objects}
       72    0.000    0.000    0.038    0.001 __init__.py:2821(_reload_version)
      585    0.037    0.000    0.037    0.000 {method 'read' of '_io.FileIO' objects}
       72    0.001    0.000    0.037    0.001 __init__.py:2427(_version_from_file)
        1    0.000    0.000    0.036    0.036 DQNAgent.py:84(__init__)
      100    0.001    0.000    0.036    0.000 __init__.py:2180(fixup_namespace_packages)
      174    0.000    0.000    0.036    0.000 <frozen importlib._bootstrap_external>:1216(find_loader)
        2    0.000    0.000    0.036    0.018 DQNAgent.py:47(__init__)
     1170    0.011    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      391    0.002    0.000    0.034    0.000 __init__.py:2623(_get_metadata)
        1    0.000    0.000    0.033    0.033 __init__.py:19(<module>)
        1    0.000    0.000    0.032    0.032 parser.py:5(<module>)
        1    0.000    0.000    0.031    0.031 feedparser.py:20(<module>)
        1    0.000    0.000    0.031    0.031 universaldetector.py:36(<module>)
       20    0.030    0.002    0.030    0.002 {method 'uniform_' of 'torch._C._TensorBase' objects}
      504    0.004    0.000    0.030    0.000 writer.py:82(add_summary)
    33700    0.030    0.000    0.030    0.000 {method 'append' of 'list' objects}
        4    0.000    0.000    0.030    0.007 linear.py:37(__init__)
     5376    0.018    0.000    0.030    0.000 random.py:223(_randbelow)
       74    0.001    0.000    0.029    0.000 {built-in method builtins.next}
      298    0.002    0.000    0.029    0.000 __init__.py:1317(safe_version)
       13    0.000    0.000    0.029    0.002 enum.py:604(_convert)
        4    0.000    0.000    0.029    0.007 linear.py:48(reset_parameters)
      504    0.013    0.000    0.029    0.000 summary.py:101(scalar)
      503    0.005    0.000    0.029    0.000 sre_compile.py:223(_compile_charset)
      530    0.002    0.000    0.028    0.000 version.py:74(__init__)
        1    0.000    0.000    0.028    0.028 utils.py:4(<module>)
        1    0.000    0.000    0.028    0.028 cookiejar.py:26(<module>)
        1    0.000    0.000    0.028    0.028 ssl.py:91(<module>)
        1    0.000    0.000    0.028    0.028 context.py:1(<module>)
      232    0.001    0.000    0.027    0.000 __init__.py:2444(__init__)
    25474    0.027    0.000    0.027    0.000 {method 'rstrip' of 'str' objects}
      363    0.001    0.000    0.027    0.000 DQNAgent.py:162(get_recent_states)
        2    0.000    0.000    0.027    0.013 __init__.py:6(<module>)
      530    0.008    0.000    0.026    0.000 version.py:131(_legacy_cmpkey)
      204    0.002    0.000    0.026    0.000 sprite.py:464(draw)
        1    0.000    0.000    0.025    0.025 _policybase.py:4(<module>)
     1234    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:403(cached)
      504    0.003    0.000    0.025    0.000 writer.py:136(_add_event)
